Ilkel C.,-9,1427.4949811402682
Chung H.,0,1732.7849910279963
Copil M.,-28,1521.7307956145842
Tipsarevic J.,4,1550.2634917019964
Avidzba A.,0,1516.0
Kachmazov A.,-1,1500.0
Darcis S.,-29,1511.474272726328
Dubrivnyy A.,-1,1500.0
Jarry N.,-1,1632.3414496347543
Ymer E.,-20,1394.0775690627038
Pouille L.,28,1743.7792347929378
Li Z.,-9,1432.855166897169
Zhang Ze.,-2,1490.6558143314783
Zhang Zh.,0,1544.5996784210727
Wu D.,-13,1477.0706683920105
Bai Y.,-3,1500.610472713788
Vatutin A.,-2,1484.1708116124048
Sela D.,-46,1555.3228643027203
Viola M.,-5,1511.148915055543
Roumane R.,-1,1500.0
Lenz J.,-2,1494.8248234323855
Granollers M.,-35,1515.9084258760236
Kokkinakis T.,-9,1586.721219433568
Brooksby J.,0,1526.8854586860498
Kamke T.,-32,1555.3435810475692
Giraldo S.,-45,1477.8718353208692
Fratangelo B.,-12,1528.2492549738351
Garcia-Lopez G.,-47,1524.6761149261595
Svajda Z.,-1,1500.0
Berdych T.,247,1788.284303674934
Sarmiento R.,-1,1500.0
Lee D.H.,0,1491.2464364529912
Weintraub A.,-4,1462.8832185909357
Monteiro J.,-1,1500.0
Polansky P.,-20,1410.9371927775144
Smyczek T.,-32,1469.7132903342983
Bachinger M.,-27,1490.3537300989217
Miedler L.,-2,1486.7189437219665
Young D.,-53,1570.3353139774028
Ebden M.,-36,1485.8458488195442
Gomez L.,-5,1462.9438212895143
Torpegaard M.,-1,1500.0
King K.,-2,1512.4650990107384
Moroni G.,0,1520.1541545151697
Molleker R.,-4,1497.3691447149126
Gromley C.,-1,1500.0
Robredo T.,159,1592.3194081397546
Baldi F.,-2,1490.1904120222766
Ehrat S.,-2,1478.2492073893836
Andreozzi G.,-11,1476.6500580303307
Arguello F.,-10,1412.5946284160361
Lestienne C.,-3,1469.3415840133364
Zapata Miralles B.,-2,1480.8238996602172
Galovic V.,-2,1482.2726885012526
Torebko P.,-2,1486.9942609357763
Gray A.,-1,1500.0
Clarke J.,-2,1496.625474206546
Baghdatis M.,62,1698.173434359008
Ward J.,-28,1386.6268336937294
Jubb P.,-2,1491.0923712474234
Bemelmans R.,-20,1547.276613040478
Arnaboldi A.,-4,1500.8146499182521
Krawietz K.,-3,1483.4475129274397
Celikbilek A.,0,1515.5276404403494
Aragone JC,-1,1500.0
Kirkin E.,-1,1500.0
Mahut N.,-33,1669.782098567535
Del Potro J.M.,212,1923.6348644416908
Moraing M.,-1,1500.0
Brown D.,-29,1584.872037237935
De Bakker T.,-27,1493.4906131554444
Rola B.,-3,1505.964220387695
Bolelli S.,-42,1561.8620549951638
Muller A.,-2,1482.8869200489926
Lamasine T.,-3,1493.3498844597846
Basso A.,-1,1500.0
Ferrer D.,310,1770.3233165785762
Kuhn N.,-2,1497.7512565536995
Valkusz M.,-1,1500.0
Catarina L.,-1,1500.0
Menendez-Maceiras A.,-10,1471.692705170414
Krstin P.,-1,1500.0
Berlocq C.,-57,1481.8378987295653
Lacko L.,-43,1507.7953175937398
Tseng C.H.,-1,1500.0
Donaldson J.,-7,1630.8361943911973
Giannessi A.,-7,1485.9119953017043
Nava E.,-1,1500.0
Sakamoto P.,-1,1500.0
King D.,-4,1502.7850235134886
Watanuki Y.,-1,1500.0
Lin J.M.,-1,1500.0
Arevalo M.,-1,1500.0
Skugor F.,-11,1451.6758065476647
Dutra Silva R.,-34,1441.3904707220981
Brands D.,-25,1593.2783866441748
Basic M.,6,1661.7104736869287
Lazarov A.,-2,1481.0182310272412
Kuzmanov D.,-4,1463.8523975348191
Andreev A.,-2,1490.7519207573691
Vanni L.,-12,1416.92178062224
Sakharov G.,-2,1503.9633326348717
Kubler J.,-3,1487.0885379553185
Statham J.,-3,1502.0817910073831
Zayid M.S.,-2,1490.8469785260365
Zeballos H.,-39,1618.9575788751454
Kicker N.,-5,1536.31629532134
Clezar G.,-8,1426.7699100461166
Bellucci T.,-22,1531.1424903354484
Estrella Burgos V.,-15,1470.7083084907702
Kavcic B.,-37,1433.453895906535
Haider-Maurer A.,-27,1476.1833315036404
Elias G.,-15,1540.179515586181
Mayer F.,-15,1564.8889244943143
Melzer G.,-9,1506.610447624649
Benneteau J.,-21,1726.743299157035
Youzhny M.,88,1519.758877455589
Muller G.,12,1731.1335778512514
Quiroz R.,0,1519.440680380339
Hemery C.,-3,1480.895443359345
De Schepper K.,-21,1503.254027347782
Donski A.,-1,1500.0
Dolgopolov O.,15,1752.9122280457098
Safranek V.,-2,1496.90642290916
Bhambri Y.,-6,1524.9930998986229
Caruana L.,-1,1500.0
Wu Y.,-3,1472.8975118590188
Ojeda Lara R.,1,1536.7229119033923
Al Mutawa J.,-2,1484.4788928205935
Chiudinelli M.,-38,1480.3478703392846
Janowicz J.,-2,1664.6958832524729
Zopp J.,-13,1466.460147593225
Setkic A.,-3,1475.8139972942984
Kravchuk K.,-17,1397.0612620647926
Gabashvili T.,-78,1482.4800435755792
Zhang Ze,-8,1453.8447740600618
Takahashi Y.,-1,1500.0
Santillan A.,-5,1452.0107980343043
Pavic M.,-6,1461.5710327384859
Almagro N.,109,1654.4964558798204
Mathieu P.H.,-19,1462.172642984913
